Feature ID,lfc
Ppp1cb,0.200592207
Zfp866,0.200542625
1110018J18Rik,0.200522503
Mt1,0.200512313
Dcun1d3,0.200482979
Csgalnact2,0.200447673
Osbpl8,0.200193398
Ebpl,0.200056883
Rock1,0.199841667
Psmc1,0.199763247
Thoc1,0.199761405
2400009B08Rik,0.199749171
9930022D16Rik,0.199746145
Fdxr,0.199703465
Atl2,0.199458562
Dusp12,0.199453296
Xiap,0.199378597
Zfp148,0.199280817
Rad50,0.199052985
Ube2e3,0.198991178
Dut,0.198859763
Nt5c2,0.19881822
Ranbp9,0.198789511
Gbp9,0.198744378
Zranb2,0.19867205
Hmgcr,0.198639967
Bzw1,0.198505284
Ndufab1,0.198479104
1110059G10Rik,0.198419514
Serpinb1a,0.198248351
C1qbp,0.198205826
Sh3tc1,0.198123788
Nap1l1,0.197949139
1110034B05Rik,0.197919464
Mtrf1l,0.19777668
H2-T24,0.197452985
Hnrnpd,0.196904755
Gm608,0.196738193
Rfwd2,0.196622783
Arfip2,0.196523801
Fn3krp,0.196333994
Sik2,0.196229536
Snhg12,0.195897821
2510003E04Rik,0.195763562
Ndufb5,0.19575313
BC013529,0.195692067
